Feature1,Feature2,Feature3,Feature4,Feature5,Price
388.677289689482,1,2,1845.0216800975093,2,128217.59302887949
271.3490317738959,2,1,2970.16155031279,1,173919.70686599362
828.7375091519293,1,1,420.2520457095721,5,103164.95072740919
356.75332669358926,1,2,1554.9889570912103,5,114315.13343277712
280.93450968738074,3,1,2632.1192157838664,4,159768.71708696915
542.6960831582485,2,1,2222.3058532626133,2,167311.90959167242
140.92422497476264,4,2,2091.0472229858037,1,119527.03842222158
802.1969807540397,4,2,2107.452251961328,4,185621.01182934752
74.55064367977083,3,1,1078.4734536592655,3,65865.25964607476
986.8869366005173,3,1,880.7755327934801,4,143469.92366982557
772.2447692966574,2,2,2428.0834664355407,4,197724.76584822606
198.7156815341724,4,2,2430.3401840375423,2,145038.5113682682
5.522117123602399,4,2,2601.2169557403113,3,132938.8825962026
815.4614284548342,4,2,2739.721657669414,4,222084.40130944172
706.8573438476171,1,1,1534.0271965828133,1,147150.23034264334
729.0071680409873,4,2,1504.5488840615988,1,150015.77926014087
771.2703466859457,1,2,2394.8855369003254,5,193940.6125954661
74.04465173409037,2,1,1949.8917923332954,3,106422.06761190214
358.4657285442726,1,2,2105.90063177311,3,140811.15652657454
115.86905952512971,2,1,2387.3780083083034,5,128190.69045689226
863.1034258755935,4,2,2670.016025452699,4,221796.34466823027
623.2981268275579,4,2,1013.9854705546074,3,109333.82356049413
330.8980248526492,2,2,1126.748857919832,1,85576.83234712809
63.55835028602363,3,1,281.945819522607,1,21123.078922343317
310.9823217156622,2,1,1734.8404229885218,2,118942.94834164588
325.183322026747,3,2,107.82682139022626,3,39795.72091221244
729.6061783380641,1,1,1396.7940543973805,4,144254.24658673434
637.5574713552131,1,1,1627.93390412273,5,148070.75959251708
887.2127425763265,1,1,859.6237563848532,5,133067.94798360014
472.2149251619493,4,1,1772.4997817070323,4,135491.88271366162
119.5942459383017,1,1,91.50074981714829,2,16367.23985310377
713.244787222995,3,1,112.04456624764325,5,76287.26465670725
760.7850486168975,1,2,2467.8016819789746,3,200044.54400948487
561.2771975694963,2,2,1080.5719242337886,2,107931.62423150575
770.967179954561,2,1,381.18153795565433,3,96792.63929035672
493.79559636439075,4,2,1566.7297801644131,1,127478.2216309965
522.7328293819941,2,2,2309.9806592958325,2,168293.58621876585
427.54101835854965,3,2,647.4630824905295,5,75619.70203032276
25.419126744095188,1,2,1868.6714274570008,2,91060.95484462808
107.89142699330445,4,1,256.04239498130397,2,21708.67481106631
